,Jogador,Jogos,Gols,Assistencias,Participações em Gols,Chutes,Chutes para Marcar,Passes,Aproveitamento de passes,Aproveitamento de passes curtos,Aproveitamento de passes medios,Aproveitamento de passes longos,Passes progressivos,Passes para chutes,Toques na bola,Toques na defesa,Toques no meio,Toques na ataque,Aproveitamento de dribles
0,Matheus Pereira,34,12,6,18,66,5.5,790,72.0,86.9,70.8,46.6,115,59,1411,177,589,659,54.1
1,Raphael Veiga,43,15,4,19,88,5.87,1093,78.9,89.1,84.3,57.3,198,56,1749,208,954,621,58.9
