,Jogador,Tempo de Jogo,Gols,Time,Posicao
103,Lelê,512.0,2.0,Fluminense,"AT,LT"
104,John Kennedy,371.0,2.0,Fluminense,"AT,LT"
105,Alan Carvalho,45.0,1.0,Fluminense,LT
106,Caio Alexandre,1074.0,1.0,Fortaleza,LT
107,Guilherme Tinga,1037.0,1.0,Fortaleza,ZG
108,Thiago Galhardo,716.0,2.0,Fortaleza,AT
109,Tomas Pochettino,692.0,2.0,Fortaleza,"LT,AT"
110,Hércules,738.0,1.0,Fortaleza,LT
111,Juan Martín Lucero,644.0,1.0,Fortaleza,AT
112,Moises,367.0,3.0,Fortaleza,"LT,AT"
113,Yago Pikachu,552.0,2.0,Fortaleza,"LT,ZG"
114,Silvio Romero,259.0,2.0,Fortaleza,"AT,LT"
115,Bruno Melo,1080.0,2.0,Goias,ZG
116,Matheus Peixoto,878.0,2.0,Goias,AT
117,Maguinho,888.0,2.0,Goias,"ZG,LT"
118,Lucas Halter,850.0,1.0,Goias,ZG
119,Everton Morelli,680.0,1.0,Goias,LT
120,Alesson,328.0,1.0,Goias,"AT,LT"
121,Apodi,298.0,1.0,Goias,"AT,LT"
122,Dodô,100.0,1.0,Goias,"AT,LT"
123,Bitelo,1042.0,3.0,Gremio,"LT,AT"
124,Franco Cristaldo,826.0,4.0,Gremio,"LT,AT"
125,Luis Suárez,935.0,4.0,Gremio,AT
126,Mathías Villasanti,855.0,3.0,Gremio,LT
127,Bruno Uvini,731.0,1.0,Gremio,ZG
128,Reinaldo,703.0,1.0,Gremio,ZG
129,Vinícius,643.0,1.0,Gremio,AT
130,João Pedro,526.0,1.0,Gremio,ZG
131,Gustavo Martins Santos,358.0,1.0,Gremio,ZG
132,Cuiabano,267.0,1.0,Gremio,"LT,ZG"
133,Everton,320.0,2.0,Gremio,"LT,AT"
134,Andre Martins,73.0,1.0,Gremio,"AT,LT"
135,Pedro Henrique,798.0,1.0,Internacional,AT
136,Luiz Adriano,689.0,1.0,Internacional,AT
137,Johnny Cardoso,705.0,2.0,Internacional,LT
138,Wanderson,745.0,3.0,Internacional,AT
139,Romulo,701.0,1.0,Internacional,"LT,ZG"
140,Carlos de Pena,644.0,1.0,Internacional,"LT,AT"
141,Mauricio,358.0,2.0,Internacional,AT
142,Alexandre Alemão,318.0,1.0,Internacional,AT
143,Jean Dias,304.0,1.0,Internacional,"AT,LT"
144,Artur,963.0,4.0,Palmeiras,AT
145,Dudu,945.0,2.0,Palmeiras,AT
146,Gabriel Menino,858.0,2.0,Palmeiras,LT
147,Luan Garcia,832.0,1.0,Palmeiras,ZG
148,Mayke,793.0,1.0,Palmeiras,ZG
149,Rony,666.0,2.0,Palmeiras,AT
150,Raphael Veiga,620.0,4.0,Palmeiras,LT
151,Murilo Cerqueira,360.0,1.0,Palmeiras,ZG
152,Endrick,352.0,4.0,Palmeiras,AT
153,José López,179.0,1.0,Palmeiras,"LT,AT"
154,Rafael Navarro,125.0,1.0,Palmeiras,AT
155,Lucas Lima,1055.0,1.0,Santos,"LT,AT"
156,Rodrigo Fernández,779.0,1.0,Santos,LT
157,Marcos Leonardo,708.0,1.0,Santos,AT
158,Stiven Mendoza,629.0,3.0,Santos,AT
159,Ângelo Borges,542.0,2.0,Santos,"AT,LT"
160,Deivid Washington,396.0,2.0,Santos,AT
161,Eduardo Gabriel,269.0,1.0,Santos,ZG
162,Pablo Maia,959.0,2.0,Sao-Paulo,LT
163,Lucas Beraldo,900.0,1.0,Sao-Paulo,ZG
164,Luciano,900.0,4.0,Sao-Paulo,"LT,AT"
165,Jonathan Calleri,884.0,4.0,Sao-Paulo,AT
166,Rodrigo Nestor,685.0,1.0,Sao-Paulo,"LT,AT"
167,Gabriel Neves,550.0,1.0,Sao-Paulo,LT
168,Michel Araujo,446.0,1.0,Sao-Paulo,"LT,AT"
169,Marcos Paulo,401.0,2.0,Sao-Paulo,"AT,LT"
170,Juan Santos,202.0,1.0,Sao-Paulo,AT
171,David,87.0,1.0,Sao-Paulo,"LT,AT"
172,Jair,937.0,2.0,Vasco-da-Gama,LT
173,Pedro Raul,813.0,2.0,Vasco-da-Gama,AT
174,Gabriel Chaves,747.0,2.0,Vasco-da-Gama,AT
175,Andrey Santos,421.0,1.0,Vasco-da-Gama,LT
176,Matías Galarza,365.0,1.0,Vasco-da-Gama,LT
177,Rayan Vitor,225.0,1.0,Vasco-da-Gama,AT
178,Cauan Barros,211.0,1.0,Vasco-da-Gama,LT
179,Erick Marcus,186.0,1.0,Vasco-da-Gama,"AT,LT"
