,Unnamed: 0,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio,Time
104,1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,Cuiabá,3.0,1.0,52.0,35.835,Gustavo Gómez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Allianz Parque,Palmeiras
105,4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,2.0,1.0,Corinthians,1.4,0.5,54.0,,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,Allianz Parque,Palmeiras
106,7,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Em casa,V,4.0,1.0,Grêmio,3.8,0.1,59.0,,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Allianz Parque,Palmeiras
107,8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Em casa,E,1.0,1.0,Bragantino,1.6,1.0,58.0,,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,Allianz Parque,Palmeiras
108,12,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Em casa,V,3.0,1.0,Coritiba,2.5,0.6,51.0,,Gustavo Gómez,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,Allianz Parque,Palmeiras
109,16,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,D,0.0,1.0,Botafogo (RJ),2.6,0.8,64.0,38.877,Gustavo Gómez,4-2-3-1,Anderson Daronco,Relatório da Partida,Allianz Parque,Palmeiras
110,3,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Em casa,E,0.0,0.0,Atlético Mineiro,0.8,1.2,37.0,,João Paulo,4-4-2,Braulio da Silva Machado,Relatório da Partida,Vila-Belmiro,Santos
111,4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,3.0,2.0,América (MG),1.8,1.8,44.0,,Yeferson Soteldo,4-3-3,Anderson Daronco,Relatório da Partida,Vila-Belmiro,Santos
112,7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,V,3.0,0.0,Bahia,2.0,1.3,41.0,,João Paulo,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Vila-Belmiro,Santos
113,9,2023-05-20,21:00,Série A,Rodada da semana 7,sáb,Em casa,E,0.0,0.0,Palmeiras,0.4,0.4,39.0,,João Paulo,4-2-3-1,Raphael Claus,Relatório da Partida,Vila-Belmiro,Santos
114,12,2023-06-03,21:00,Série A,Rodada da semana 9,sáb,Em casa,E,1.0,1.0,Internacional,1.4,1.1,56.0,9.6,Alison,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Vila-Belmiro,Santos
115,15,2023-06-21,20:00,Série A,Rodada da semana 11,qua,Em casa,D,0.0,2.0,Corinthians,0.8,1.3,51.0,12.499,Yeferson Soteldo,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,Vila-Belmiro,Santos
116,16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Em casa,D,2.0,3.0,Flamengo,1.7,0.8,33.0,,Yeferson Soteldo,4-2-3-1,Wilton Sampaio,Relatório da Partida,Vila-Belmiro,Santos
117,3,2023-04-22,18:30,Série A,Rodada da semana 2,sáb,Em casa,V,3.0,0.0,América (MG),2.4,1.1,53.0,41.006,Robert Arboleda,4-1-3-2,Wagner do Nascimento Magalhães,Relatório da Partida,Morumbi,Sao-Paulo
118,6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Em casa,V,2.0,0.0,Internacional,1.9,0.8,42.0,46.093,Rafinha,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Morumbi,Sao-Paulo
119,9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,4.0,2.0,Vasco da Gama,2.3,1.1,52.0,,Rafinha,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,Morumbi,Sao-Paulo
120,11,2023-05-27,21:00,Série A,Rodada da semana 8,sáb,Em casa,V,2.0,1.0,Goiás,0.9,0.3,67.0,,Rafinha,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Morumbi,Sao-Paulo
121,14,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Em casa,D,0.0,2.0,Palmeiras,1.4,0.7,65.0,,Rafinha,4-2-3-1,Raphael Claus,Relatório da Partida,Morumbi,Sao-Paulo
122,15,2023-06-21,19:00,Série A,Rodada da semana 11,qua,Em casa,V,2.0,1.0,Atl Paranaense,0.6,1.2,56.0,22.882,Rafinha,4-2-3-1,Savio Pereira,Relatório da Partida,Morumbi,Sao-Paulo
123,18,2023-07-01,16:00,Série A,Rodada da semana 13,sáb,Em casa,V,1.0,0.0,Fluminense,1.1,0.2,54.0,,Rafinha,4-1-2-1-2◆,Anderson Daronco,Relatório da Partida,Morumbi,Sao-Paulo
124,1,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Em casa,E,2.0,2.0,Palmeiras,1.4,0.7,36.0,,Léo Pelé,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,São Januário,Vasco-da-Gama
125,2,2023-05-01,20:00,Série A,Rodada da semana 3,seg,Em casa,D,0.0,1.0,Bahia,0.9,1.1,55.0,,Léo Pelé,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,São Januário,Vasco-da-Gama
126,5,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,D,0.0,1.0,Santos,1.7,0.6,68.0,18.476,Léo Pelé,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,São Januário,Vasco-da-Gama
127,8,2023-06-05,20:00,Série A,Rodada da semana 9,seg,Em casa,D,1.0,4.0,Flamengo,1.5,1.1,45.0,,Léo Pelé,3-4-3,Braulio da Silva Machado,Relatório da Partida,Maracanã,Vasco-da-Gama
128,10,2023-06-22,20:00,Série A,Rodada da semana 11,qui,Em casa,D,0.0,1.0,Goiás,1.7,0.4,59.0,,Léo Pelé,4-3-1-2,Jean Pierre Goncalves Lima,Relatório da Partida,São Januário,Vasco-da-Gama
129,11,2023-06-26,21:00,Série A,Rodada da semana 12,seg,Em casa,V,1.0,0.0,Cuiabá,1.8,0.5,45.0,,Léo Pelé,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,São Januário,Vasco-da-Gama
