,Jogador,Chutes,Gols,Time,Posicao
120,Alesson,4,1,Goias,"AT,LT"
121,Apodi,7,1,Goias,"AT,LT"
122,Dodô,2,1,Goias,"AT,LT"
123,Bitelo,23,3,Gremio,"LT,AT"
124,Franco Cristaldo,17,4,Gremio,"LT,AT"
125,Luis Suárez,40,4,Gremio,AT
126,Mathías Villasanti,13,3,Gremio,LT
127,Bruno Uvini,10,1,Gremio,ZG
128,Reinaldo,8,1,Gremio,ZG
129,Vinícius,14,1,Gremio,AT
130,João Pedro,4,1,Gremio,ZG
131,Gustavo Martins Santos,5,1,Gremio,ZG
132,Cuiabano,8,1,Gremio,"LT,ZG"
133,Everton,8,2,Gremio,"LT,AT"
134,Andre Martins,3,1,Gremio,"AT,LT"
135,Pedro Henrique,22,1,Internacional,AT
136,Luiz Adriano,11,1,Internacional,AT
137,Johnny Cardoso,10,2,Internacional,LT
138,Wanderson,10,3,Internacional,AT
139,Romulo,8,1,Internacional,"LT,ZG"
140,Carlos de Pena,13,1,Internacional,"LT,AT"
141,Mauricio,9,2,Internacional,AT
142,Alexandre Alemão,12,1,Internacional,AT
143,Jean Dias,6,1,Internacional,"AT,LT"
144,Artur,25,4,Palmeiras,AT
145,Dudu,32,2,Palmeiras,AT
146,Gabriel Menino,19,2,Palmeiras,LT
147,Luan Garcia,8,1,Palmeiras,ZG
148,Mayke,2,1,Palmeiras,ZG
149,Rony,17,2,Palmeiras,AT
150,Raphael Veiga,26,4,Palmeiras,LT
151,Murilo Cerqueira,1,1,Palmeiras,ZG
152,Endrick,12,4,Palmeiras,AT
153,José López,5,1,Palmeiras,"LT,AT"
154,Rafael Navarro,4,1,Palmeiras,AT
155,Lucas Lima,9,1,Santos,"LT,AT"
156,Rodrigo Fernández,7,1,Santos,LT
157,Marcos Leonardo,23,1,Santos,AT
158,Stiven Mendoza,17,3,Santos,AT
159,Ângelo Borges,6,2,Santos,"AT,LT"
160,Deivid Washington,15,2,Santos,AT
161,Eduardo Gabriel,8,1,Santos,ZG
162,Pablo Maia,19,2,Sao-Paulo,LT
163,Lucas Beraldo,7,1,Sao-Paulo,ZG
164,Luciano,30,4,Sao-Paulo,"LT,AT"
165,Jonathan Calleri,26,4,Sao-Paulo,AT
166,Rodrigo Nestor,19,1,Sao-Paulo,"LT,AT"
167,Gabriel Neves,1,1,Sao-Paulo,LT
168,Michel Araujo,12,1,Sao-Paulo,"LT,AT"
169,Marcos Paulo,12,2,Sao-Paulo,"AT,LT"
170,Juan Santos,3,1,Sao-Paulo,AT
171,David,2,1,Sao-Paulo,"LT,AT"
172,Jair,4,2,Vasco-da-Gama,LT
173,Pedro Raul,21,2,Vasco-da-Gama,AT
174,Gabriel Chaves,18,2,Vasco-da-Gama,AT
175,Andrey Santos,5,1,Vasco-da-Gama,LT
176,Matías Galarza,9,1,Vasco-da-Gama,LT
177,Rayan Vitor,9,1,Vasco-da-Gama,AT
178,Cauan Barros,5,1,Vasco-da-Gama,LT
179,Erick Marcus,6,1,Vasco-da-Gama,"AT,LT"
